SDS 2.3 RQ Results	1.2
Filename	150A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-150-A
Run DateTime	Tue Jul 20 16:06:15 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	CNMP-150-A	Endogenous Control	20.158					false	0/4	false				
2	Analyzed	RNU44-4373384	CNMP-150-A	Target	26.480	6.322		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	CNMP-150-A	Target	23.961	3.804		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
5	Analyzed	has-miR-155-4395459	CNMP-150-A	Target	26.369	6.211		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	CNMP-150-A	Target	31.401	11.243		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	CNMP-150-A	Target	26.785	6.627		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	CNMP-150-A	Target	31.578	11.420		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	CNMP-150-A	Target	29.621	9.464		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	CNMP-150-A	Target	26.677	6.519		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	CNMP-150-A	Target	35.636	15.479		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	CNMP-150-A	Target	28.090	7.933		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	CNMP-150-A	Target	37.020	16.862		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	CNMP-150-A	Target	26.977	6.819		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	CNMP-150-A	Target	34.083	13.925		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	CNMP-150-A	Target	30.152	9.994		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	CNMP-150-A	Target	25.338	5.180		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	CNMP-150-A	Target	29.681	9.523		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	CNMP-150-A	Target	36.336	16.178		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	CNMP-150-A	Target	28.890	8.733		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	CNMP-150-A	Target	37.417	17.259		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	CNMP-150-A	Target	30.081	9.924		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	CNMP-150-A	Target	35.652	15.494		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	CNMP-150-A	Target	28.938	8.781		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	CNMP-150-A	Target	27.817	7.659		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	CNMP-150-A	Target	22.562	2.405		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	CNMP-150-A	Target	29.907	9.749		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	CNMP-150-A	Target	34.150	13.992		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	CNMP-150-A	Target	31.615	11.458		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	CNMP-150-A	Target	32.785	12.627		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	CNMP-150-A	Target	29.042	8.885		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	CNMP-150-A	Target	33.176	13.018		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	CNMP-150-A	Target	33.443	13.285		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	CNMP-150-A	Target	34.827	14.669		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	CNMP-150-A	Target	29.699	9.541		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	CNMP-150-A	Target	29.835	9.677		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	CNMP-150-A	Target	30.031	9.873		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	CNMP-150-A	Target	30.200	10.042		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	CNMP-150-A	Target	27.360	7.203		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	CNMP-150-A	Target	29.561	9.403		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	CNMP-150-A	Target	27.880	7.723		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	CNMP-150-A	Target	33.237	13.079		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	CNMP-150-A	Target	27.927	7.770		0.000	1.000	false	0/1	false				
53	Analyzed	hsa-miR-145-4395389	CNMP-150-A	Target	25.502	5.345		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	CNMP-150-A	Target	25.313	5.156		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	CNMP-150-A	Target	34.495	14.337		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	CNMP-150-A	Target	24.970	4.812		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	CNMP-150-A	Target	35.172	15.015		0.000	1.000	false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	CNMP-150-A	Target	30.807	10.650		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	CNMP-150-A	Target	34.093	13.936		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	CNMP-150-A	Target	31.122	10.965		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	CNMP-150-A	Target	24.625	4.468		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	CNMP-150-A	Target	29.968	9.811		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
65	Analyzed	hsa-miR-154-4373270	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
66	Analyzed	hsa-miR-15a-4373123	CNMP-150-A	Target	29.958	9.800		0.000	1.000	false	0/1	false				
67	Analyzed	hsa-miR-15b-4373122	CNMP-150-A	Target	32.838	12.680		0.000	1.000	false	0/1	false				
68	Analyzed	hsa-miR-16-4373121	CNMP-150-A	Target	24.618	4.460		0.000	1.000	false	0/1	false				
69	Analyzed	hsa-miR-17-4395419	CNMP-150-A	Target	25.273	5.116		0.000	1.000	false	0/1	false				
70	Analyzed	hsa-miR-181a-4373117	CNMP-150-A	Target	30.749	10.592		0.000	1.000	false	0/1	false				
71	Analyzed	hsa-miR-181c-4373115	CNMP-150-A	Target	37.821	17.663		0.000	1.000	false	0/1	false				
72	Analyzed	hsa-miR-182-4395445	CNMP-150-A	Target	38.648	18.491		0.000	1.000	false	0/1	false				
73	Analyzed	hsa-miR-183-4395380	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
74	Analyzed	hsa-miR-184-4373113	CNMP-150-A	Target	34.238	14.080		0.000	1.000	false	0/1	false				
75	Analyzed	hsa-miR-185-4395382	CNMP-150-A	Target	32.684	12.526		0.000	1.000	false	0/1	false				
76	Analyzed	hsa-miR-186-4395396	CNMP-150-A	Target	27.714	7.556		0.000	1.000	false	0/1	false				
77	Analyzed	hsa-miR-187-4373307	CNMP-150-A	Target	34.012	13.855		0.000	1.000	false	0/1	false				
78	Analyzed	hsa-miR-188-3p-4395217	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
79	Analyzed	hsa-miR-18a-4395533	CNMP-150-A	Target	33.519	13.361		0.000	1.000	false	0/1	false				
80	Analyzed	hsa-miR-18b-4395328	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
81	Analyzed	hsa-miR-190-4373110	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
82	Analyzed	hsa-miR-191-4395410	CNMP-150-A	Target	24.688	4.531		0.000	1.000	false	0/1	false				
83	Analyzed	hsa-miR-192-4373108	CNMP-150-A	Target	31.807	11.650		0.000	1.000	false	0/1	false				
84	Analyzed	hsa-miR-193a-3p-4395361	CNMP-150-A	Target	32.270	12.112		0.000	1.000	false	0/1	false				
85	Analyzed	hsa-miR-193a-5p-4395392	CNMP-150-A	Target	31.668	11.510		0.000	1.000	false	0/1	false				
86	Analyzed	hsa-miR-193b-4395478	CNMP-150-A	Target	27.614	7.457		0.000	1.000	false	0/1	false				
87	Analyzed	hsa-miR-194-4373106	CNMP-150-A	Target	32.984	12.826		0.000	1.000	false	0/1	false				
88	Analyzed	hsa-miR-195-4373105	CNMP-150-A	Target	27.978	7.820		0.000	1.000	false	0/1	false				
89	Analyzed	hsa-miR-196b-4395326	CNMP-150-A	Target	30.774	10.616		0.000	1.000	false	0/1	false				
90	Analyzed	hsa-miR-197-4373102	CNMP-150-A	Target	32.085	11.928		0.000	1.000	false	0/1	false				
91	Analyzed	hsa-miR-198-4395384	CNMP-150-A	Target	35.928	15.770		0.000	1.000	false	0/1	false				
92	Analyzed	hsa-miR-199a-3p-4395415	CNMP-150-A	Target	26.851	6.694		0.000	1.000	false	0/1	false				
93	Analyzed	hsa-miR-199a-5p-4373272	CNMP-150-A	Target	34.268	14.110		0.000	1.000	false	0/1	false				
94	Analyzed	hsa-miR-199b-5p-4373100	CNMP-150-A	Target	40.000	19.842				false	0/1	false				
