SDS 2.3 RQ Results	1.2
Filename	117A.sdm
Assay Type	RQ Study
EmbeddedFile	B06-10663-A
Run DateTime	Tue May 26 14:12:48 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
129	Analyzed	hsa-miR-23a-4373074	B06-10663-A	Target	31.647	11.903		0.000	1.000	false	0/1	false				
130	Analyzed	hsa-miR-23b-4373073	B06-10663-A	Target	30.034	10.290		0.000	1.000	false	0/1	false				
131	Analyzed	hsa-miR-24-4373072	B06-10663-A	Target	21.854	2.110		0.000	1.000	false	0/1	false				
132	Analyzed	hsa-miR-25-4373071	B06-10663-A	Target	28.865	9.121		0.000	1.000	false	0/1	false				
133	Analyzed	hsa-miR-26a-4395166	B06-10663-A	Target	23.328	3.583		0.000	1.000	false	0/1	false				
134	Analyzed	hsa-miR-26b-4395167	B06-10663-A	Target	25.968	6.224		0.000	1.000	false	0/1	false				
135	Analyzed	hsa-miR-27a-4373287	B06-10663-A	Target	26.438	6.693		0.000	1.000	false	0/1	false				
136	Analyzed	hsa-miR-27b-4373068	B06-10663-A	Target	28.460	8.716		0.000	1.000	false	0/1	false				
137	Analyzed	hsa-miR-28-3p-4395557	B06-10663-A	Target	26.883	7.139		0.000	1.000	false	0/1	false				
138	Analyzed	hsa-miR-28-5p-4373067	B06-10663-A	Target	29.045	9.301		0.000	1.000	false	0/1	false				
139	Analyzed	hsa-miR-296-3p-4395212	B06-10663-A	Target	40.000	20.256				false	0/1	false				
140	Analyzed	hsa-miR-296-5p-4373066	B06-10663-A	Target	32.719	12.974		0.000	1.000	false	0/1	false				
141	Analyzed	hsa-miR-298-4395301	B06-10663-A	Target	40.000	20.256				false	0/1	false				
142	Analyzed	hsa-miR-299-3p-4373189	B06-10663-A	Target	37.102	17.358		0.000	1.000	false	0/1	false				
143	Analyzed	hsa-miR-299-5p-4373188	B06-10663-A	Target	40.000	20.256				false	0/1	false				
144	Analyzed	hsa-miR-29a-4395223	B06-10663-A	Target	23.846	4.102		0.000	1.000	false	0/1	false				
145	Analyzed	hsa-miR-29b-4373288	B06-10663-A	Target	31.298	11.553		0.000	1.000	false	0/1	false				
146	Analyzed	hsa-miR-29c-4395171	B06-10663-A	Target	27.423	7.679		0.000	1.000	false	0/1	false				
147	Analyzed	hsa-miR-301a-4373064	B06-10663-A	Target	31.868	12.124		0.000	1.000	false	0/1	false				
148	Analyzed	hsa-miR-301b-4395503	B06-10663-A	Target	36.026	16.281		0.000	1.000	false	0/1	false				
149	Analyzed	hsa-miR-302a-4378070	B06-10663-A	Target	40.000	20.256				false	0/1	false				
150	Analyzed	hsa-miR-302b-4378071	B06-10663-A	Target	40.000	20.256				false	0/1	false				
151	Analyzed	hsa-miR-302c-4378072	B06-10663-A	Target	40.000	20.256				false	0/1	false				
152	Analyzed	hsa-miR-30b-4373290	B06-10663-A	Target	23.608	3.863		0.000	1.000	false	0/1	false				
153	Analyzed	hsa-miR-30c-4373060	B06-10663-A	Target	22.847	3.103		0.000	1.000	false	0/1	false				
154	Analyzed	hsa-miR-31-4395390	B06-10663-A	Target	31.623	11.879		0.000	1.000	false	0/1	false				
155	Analyzed	hsa-miR-32-4395220	B06-10663-A	Target	33.474	13.730		0.000	1.000	false	0/1	false				
156	Analyzed	hsa-miR-320-4395388	B06-10663-A	Target	24.784	5.040		0.000	1.000	false	0/1	false				
157	Analyzed	hsa-miR-323-3p-4395338	B06-10663-A	Target	32.291	12.547		0.000	1.000	false	0/1	false				
158	Analyzed	hsa-miR-324-3p-4395272	B06-10663-A	Target	30.268	10.524		0.000	1.000	false	0/1	false				
159	Analyzed	hsa-miR-324-5p-4373052	B06-10663-A	Target	30.624	10.880		0.000	1.000	false	0/1	false				
160	Analyzed	hsa-miR-325-4373051	B06-10663-A	Target	40.000	20.256				false	0/1	false				
161	Analyzed	hsa-miR-326-4373050	B06-10663-A	Target	40.000	20.256				false	0/1	false				
162	Analyzed	hsa-miR-328-4373049	B06-10663-A	Target	29.305	9.560		0.000	1.000	false	0/1	false				
163	Analyzed	hsa-miR-329-4373191	B06-10663-A	Target	40.000	20.256				false	0/1	false				
164	Analyzed	hsa-miR-330-3p-4373047	B06-10663-A	Target	35.111	15.367		0.000	1.000	false	0/1	false				
165	Analyzed	hsa-miR-330-5p-4395341	B06-10663-A	Target	40.000	20.256				false	0/1	false				
166	Analyzed	hsa-miR-331-3p-4373046	B06-10663-A	Target	26.087	6.342		0.000	1.000	false	0/1	false				
167	Analyzed	hsa-miR-331-5p-4395344	B06-10663-A	Target	40.000	20.256				false	0/1	false				
168	Analyzed	hsa-miR-335-4373045	B06-10663-A	Target	29.897	10.153		0.000	1.000	false	0/1	false				
169	Analyzed	hsa-miR-337-5p-4395267	B06-10663-A	Target	34.483	14.739		0.000	1.000	false	0/1	false				
170	Analyzed	hsa-miR-338-3p-4395363	B06-10663-A	Target	33.255	13.511		0.000	1.000	false	0/1	false				
