SDS 2.3 RQ Results	1.2
Filename	140A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-140-A
Run DateTime	Mon Jul 12 09:45:24 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
53	Analyzed	hsa-miR-145-4395389	CNMP-140-A	Target	21.860	2.610		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	CNMP-140-A	Target	24.922	5.672		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	CNMP-140-A	Target	32.582	13.332		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	CNMP-140-A	Target	24.561	5.312		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	CNMP-140-A	Target	29.809	10.559		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	CNMP-140-A	Target	32.801	13.551		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	CNMP-140-A	Target	30.286	11.037		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	CNMP-140-A	Target	23.396	4.146		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	CNMP-140-A	Target	29.405	10.155		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
65	Analyzed	hsa-miR-154-4373270	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
66	Analyzed	hsa-miR-15a-4373123	CNMP-140-A	Target	33.747	14.497		0.000	1.000	false	0/1	false				
67	Analyzed	hsa-miR-15b-4373122	CNMP-140-A	Target	28.260	9.011		0.000	1.000	false	0/1	false				
68	Analyzed	hsa-miR-16-4373121	CNMP-140-A	Target	23.595	4.346		0.000	1.000	false	0/1	false				
69	Analyzed	hsa-miR-17-4395419	CNMP-140-A	Target	24.757	5.507		0.000	1.000	false	0/1	false				
70	Analyzed	hsa-miR-181a-4373117	CNMP-140-A	Target	28.635	9.386		0.000	1.000	false	0/1	false				
71	Analyzed	hsa-miR-181c-4373115	CNMP-140-A	Target	34.292	15.043		0.000	1.000	false	0/1	false				
72	Analyzed	hsa-miR-182-4395445	CNMP-140-A	Target	33.647	14.397		0.000	1.000	false	0/1	false				
73	Analyzed	hsa-miR-183-4395380	CNMP-140-A	Target	35.621	16.372		0.000	1.000	false	0/1	false				
74	Analyzed	hsa-miR-184-4373113	CNMP-140-A	Target	28.972	9.723		0.000	1.000	false	0/1	false				
75	Analyzed	hsa-miR-185-4395382	CNMP-140-A	Target	30.314	11.065		0.000	1.000	false	0/1	false				
76	Analyzed	hsa-miR-186-4395396	CNMP-140-A	Target	26.607	7.357		0.000	1.000	false	0/1	false				
77	Analyzed	hsa-miR-187-4373307	CNMP-140-A	Target	31.912	12.662		0.000	1.000	false	0/1	false				
78	Analyzed	hsa-miR-188-3p-4395217	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
79	Analyzed	hsa-miR-18a-4395533	CNMP-140-A	Target	34.934	15.684		0.000	1.000	false	0/1	false				
80	Analyzed	hsa-miR-18b-4395328	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
81	Analyzed	hsa-miR-190-4373110	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
82	Analyzed	hsa-miR-191-4395410	CNMP-140-A	Target	23.695	4.446		0.000	1.000	false	0/1	false				
83	Analyzed	hsa-miR-192-4373108	CNMP-140-A	Target	34.244	14.995		0.000	1.000	false	0/1	false				
84	Analyzed	hsa-miR-193a-3p-4395361	CNMP-140-A	Target	32.876	13.626		0.000	1.000	false	0/1	false				
85	Analyzed	hsa-miR-193a-5p-4395392	CNMP-140-A	Target	30.395	11.145		0.000	1.000	false	0/1	false				
86	Analyzed	hsa-miR-193b-4395478	CNMP-140-A	Target	27.368	8.119		0.000	1.000	false	0/1	false				
87	Analyzed	hsa-miR-194-4373106	CNMP-140-A	Target	33.271	14.021		0.000	1.000	false	0/1	false				
88	Analyzed	hsa-miR-195-4373105	CNMP-140-A	Target	26.883	7.634		0.000	1.000	false	0/1	false				
89	Analyzed	hsa-miR-196b-4395326	CNMP-140-A	Target	34.110	14.860		0.000	1.000	false	0/1	false				
90	Analyzed	hsa-miR-197-4373102	CNMP-140-A	Target	29.224	9.975		0.000	1.000	false	0/1	false				
