SDS 2.3 RQ Results	1.2
Filename	149A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-149-A
Run DateTime	Mon Sep 06 08:42:30 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
53	Analyzed	hsa-miR-145-4395389	CNMP-149-A	Target	23.397	3.546		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	CNMP-149-A	Target	24.008	4.157		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	CNMP-149-A	Target	32.815	12.964		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	CNMP-149-A	Target	24.105	4.254		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	CNMP-149-A	Target	36.026	16.175		0.000	1.000	false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	CNMP-149-A	Target	29.420	9.569		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	CNMP-149-A	Target	32.336	12.485		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	CNMP-149-A	Target	29.473	9.622		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	CNMP-149-A	Target	24.073	4.222		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	CNMP-149-A	Target	28.812	8.961		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
65	Analyzed	hsa-miR-154-4373270	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
66	Analyzed	hsa-miR-15a-4373123	CNMP-149-A	Target	32.459	12.608		0.000	1.000	false	0/1	false				
67	Analyzed	hsa-miR-15b-4373122	CNMP-149-A	Target	28.750	8.899		0.000	1.000	false	0/1	false				
