SDS 2.3 RQ Results	1.2
Filename	125A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-14804-A
Run DateTime	Mon Jun 01 16:15:54 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
122	Analyzed	hsa-miR-220-4373078	B04-14804-A	Target	40.000	18.361				false	0/1	false				
123	Analyzed	hsa-miR-220b-4395317	B04-14804-A	Target	40.000	18.361				false	0/1	false				
124	Analyzed	hsa-miR-220c-4395322	B04-14804-A	Target	40.000	18.361				false	0/1	false				
125	Analyzed	hsa-miR-221-4373077	B04-14804-A	Target	28.062	6.423		0.000	1.000	false	0/1	false				
126	Analyzed	hsa-miR-222-4395387	B04-14804-A	Target	22.960	1.321		0.000	1.000	false	0/1	false				
127	Analyzed	hsa-miR-223-4395406	B04-14804-A	Target	23.004	1.366		0.000	1.000	false	0/1	false				
128	Analyzed	hsa-miR-224-4395210	B04-14804-A	Target	27.353	5.714		0.000	1.000	false	0/1	false				
129	Analyzed	hsa-miR-23a-4373074	B04-14804-A	Target	32.033	10.394		0.000	1.000	false	0/1	false				
130	Analyzed	hsa-miR-23b-4373073	B04-14804-A	Target	32.300	10.661		0.000	1.000	false	0/1	false				
131	Analyzed	hsa-miR-24-4373072	B04-14804-A	Target	22.965	1.326		0.000	1.000	false	0/1	false				
132	Analyzed	hsa-miR-25-4373071	B04-14804-A	Target	28.718	7.080		0.000	1.000	false	0/1	false				
133	Analyzed	hsa-miR-26a-4395166	B04-14804-A	Target	24.966	3.327		0.000	1.000	false	0/1	false				
134	Analyzed	hsa-miR-26b-4395167	B04-14804-A	Target	26.038	4.399		0.000	1.000	false	0/1	false				
135	Analyzed	hsa-miR-27a-4373287	B04-14804-A	Target	25.644	4.005		0.000	1.000	false	0/1	false				
136	Analyzed	hsa-miR-27b-4373068	B04-14804-A	Target	28.509	6.870		0.000	1.000	false	0/1	false				
137	Analyzed	hsa-miR-28-3p-4395557	B04-14804-A	Target	26.936	5.297		0.000	1.000	false	0/1	false				
138	Analyzed	hsa-miR-28-5p-4373067	B04-14804-A	Target	28.754	7.116		0.000	1.000	false	0/1	false				
139	Analyzed	hsa-miR-296-3p-4395212	B04-14804-A	Target	40.000	18.361				false	0/1	false				
140	Analyzed	hsa-miR-296-5p-4373066	B04-14804-A	Target	32.686	11.047		0.000	1.000	false	0/1	false				
141	Analyzed	hsa-miR-298-4395301	B04-14804-A	Target	40.000	18.361				false	0/1	false				
142	Analyzed	hsa-miR-299-3p-4373189	B04-14804-A	Target	40.000	18.361				false	0/1	false				
143	Analyzed	hsa-miR-299-5p-4373188	B04-14804-A	Target	33.633	11.994		0.000	1.000	false	0/1	false				
