SDS 2.3 RQ Results	1.2
Filename	145A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-145-A
Run DateTime	Sun Jul 18 14:24:02 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
53	Analyzed	hsa-miR-145-4395389	CNMP-145-A	Target	23.973	4.447		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	CNMP-145-A	Target	25.699	6.173		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	CNMP-145-A	Target	36.427	16.901		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	CNMP-145-A	Target	26.287	6.761		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	CNMP-145-A	Target	30.348	10.822		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	CNMP-145-A	Target	32.837	13.310		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	CNMP-145-A	Target	26.798	7.272		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	CNMP-145-A	Target	24.782	5.255		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	CNMP-145-A	Target	28.754	9.228		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
65	Analyzed	hsa-miR-154-4373270	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
66	Analyzed	hsa-miR-15a-4373123	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
67	Analyzed	hsa-miR-15b-4373122	CNMP-145-A	Target	27.507	7.981		0.000	1.000	false	0/1	false				
68	Analyzed	hsa-miR-16-4373121	CNMP-145-A	Target	24.222	4.696		0.000	1.000	false	0/1	false				
69	Analyzed	hsa-miR-17-4395419	CNMP-145-A	Target	23.765	4.239		0.000	1.000	false	0/1	false				
70	Analyzed	hsa-miR-181a-4373117	CNMP-145-A	Target	30.420	10.894		0.000	1.000	false	0/1	false				
71	Analyzed	hsa-miR-181c-4373115	CNMP-145-A	Target	36.174	16.648		0.000	1.000	false	0/1	false				
72	Analyzed	hsa-miR-182-4395445	CNMP-145-A	Target	31.801	12.274		0.000	1.000	false	0/1	false				
73	Analyzed	hsa-miR-183-4395380	CNMP-145-A	Target	32.285	12.759		0.000	1.000	false	0/1	false				
74	Analyzed	hsa-miR-184-4373113	CNMP-145-A	Target	34.659	15.133		0.000	1.000	false	0/1	false				
75	Analyzed	hsa-miR-185-4395382	CNMP-145-A	Target	30.199	10.672		0.000	1.000	false	0/1	false				
76	Analyzed	hsa-miR-186-4395396	CNMP-145-A	Target	27.582	8.055		0.000	1.000	false	0/1	false				
77	Analyzed	hsa-miR-187-4373307	CNMP-145-A	Target	37.764	18.238		0.000	1.000	false	0/1	false				
78	Analyzed	hsa-miR-188-3p-4395217	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
79	Analyzed	hsa-miR-18a-4395533	CNMP-145-A	Target	30.378	10.851		0.000	1.000	false	0/1	false				
80	Analyzed	hsa-miR-18b-4395328	CNMP-145-A	Target	36.833	17.307		0.000	1.000	false	0/1	false				
81	Analyzed	hsa-miR-190-4373110	CNMP-145-A	Target	37.688	18.162		0.000	1.000	false	0/1	false				
82	Analyzed	hsa-miR-191-4395410	CNMP-145-A	Target	23.511	3.984		0.000	1.000	false	0/1	false				
83	Analyzed	hsa-miR-192-4373108	CNMP-145-A	Target	31.349	11.823		0.000	1.000	false	0/1	false				
