SDS 2.3 RQ Results	1.2
Filename	126A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-13587-A
Run DateTime	Tue Jun 02 08:07:03 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
36	Analyzed	hsa-miR-132-4373143	B04-13587-A	Target	27.118	6.669		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	B04-13587-A	Target	30.647	10.199		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	B04-13587-A	Target	36.331	15.882		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	B04-13587-A	Target	35.311	14.862		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	B04-13587-A	Target	31.642	11.193		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	B04-13587-A	Target	26.540	6.091		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	B04-13587-A	Target	40.000	19.551				false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	B04-13587-A	Target	34.372	13.924		0.000	1.000	false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	B04-13587-A	Target	27.971	7.522		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	B04-13587-A	Target	40.000	19.551				false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	B04-13587-A	Target	29.127	8.678		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	B04-13587-A	Target	31.269	10.820		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	B04-13587-A	Target	26.266	5.817		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	B04-13587-A	Target	27.379	6.930		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	B04-13587-A	Target	27.318	6.870		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	B04-13587-A	Target	33.289	12.840		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	B04-13587-A	Target	25.764	5.315		0.000	1.000	false	0/1	false				
53	Analyzed	hsa-miR-145-4395389	B04-13587-A	Target	23.119	2.670		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	B04-13587-A	Target	24.218	3.770		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	B04-13587-A	Target	32.872	12.423		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	B04-13587-A	Target	24.292	3.843		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	B04-13587-A	Target	40.000	19.551				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	B04-13587-A	Target	40.000	19.551				false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	B04-13587-A	Target	28.410	7.961		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	B04-13587-A	Target	30.463	10.014		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	B04-13587-A	Target	25.296	4.847		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	B04-13587-A	Target	25.221	4.772		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	B04-13587-A	Target	28.282	7.833		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	B04-13587-A	Target	40.000	19.551				false	0/1	false				
65	Analyzed	hsa-miR-154-4373270	B04-13587-A	Target	40.000	19.551				false	0/1	false				
66	Analyzed	hsa-miR-15a-4373123	B04-13587-A	Target	33.649	13.200		0.000	1.000	false	0/1	false				
67	Analyzed	hsa-miR-15b-4373122	B04-13587-A	Target	29.099	8.650		0.000	1.000	false	0/1	false				
68	Analyzed	hsa-miR-16-4373121	B04-13587-A	Target	23.287	2.838		0.000	1.000	false	0/1	false				
69	Analyzed	hsa-miR-17-4395419	B04-13587-A	Target	24.971	4.522		0.000	1.000	false	0/1	false				
70	Analyzed	hsa-miR-181a-4373117	B04-13587-A	Target	29.155	8.706		0.000	1.000	false	0/1	false				
71	Analyzed	hsa-miR-181c-4373115	B04-13587-A	Target	33.164	12.716		0.000	1.000	false	0/1	false				
72	Analyzed	hsa-miR-182-4395445	B04-13587-A	Target	30.846	10.397		0.000	1.000	false	0/1	false				
73	Analyzed	hsa-miR-183-4395380	B04-13587-A	Target	31.464	11.015		0.000	1.000	false	0/1	false				
74	Analyzed	hsa-miR-184-4373113	B04-13587-A	Target	30.080	9.632		0.000	1.000	false	0/1	false				
75	Analyzed	hsa-miR-185-4395382	B04-13587-A	Target	30.551	10.102		0.000	1.000	false	0/1	false				
76	Analyzed	hsa-miR-186-4395396	B04-13587-A	Target	26.377	5.928		0.000	1.000	false	0/1	false				
77	Analyzed	hsa-miR-187-4373307	B04-13587-A	Target	38.933	18.484		0.000	1.000	false	0/1	false				
78	Analyzed	hsa-miR-188-3p-4395217	B04-13587-A	Target	40.000	19.551				false	0/1	false				
79	Analyzed	hsa-miR-18a-4395533	B04-13587-A	Target	32.119	11.670		0.000	1.000	false	0/1	false				
80	Analyzed	hsa-miR-18b-4395328	B04-13587-A	Target	40.000	19.551				false	0/1	false				
81	Analyzed	hsa-miR-190-4373110	B04-13587-A	Target	33.685	13.236		0.000	1.000	false	0/1	false				
82	Analyzed	hsa-miR-191-4395410	B04-13587-A	Target	24.212	3.763		0.000	1.000	false	0/1	false				
83	Analyzed	hsa-miR-192-4373108	B04-13587-A	Target	31.117	10.668		0.000	1.000	false	0/1	false				
84	Analyzed	hsa-miR-193a-3p-4395361	B04-13587-A	Target	32.171	11.722		0.000	1.000	false	0/1	false				
85	Analyzed	hsa-miR-193a-5p-4395392	B04-13587-A	Target	29.428	8.979		0.000	1.000	false	0/1	false				
86	Analyzed	hsa-miR-193b-4395478	B04-13587-A	Target	26.945	6.496		0.000	1.000	false	0/1	false				
