SDS 2.3 RQ Results	1.2
Filename	98A.sdm
Assay Type	RQ Study
EmbeddedFile	B05-14597-A
Run DateTime	Sun Apr 19 14:17:09 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
54	Analyzed	hsa-miR-146a-4373132	B05-14597-A	Target	23.370	2.543		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	B05-14597-A	Target	35.821	14.995		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	B05-14597-A	Target	24.858	4.032		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	B05-14597-A	Target	40.000	19.174				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	B05-14597-A	Target	36.273	15.447		0.000	1.000	false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	B05-14597-A	Target	27.861	7.034		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	B05-14597-A	Target	32.151	11.324		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	B05-14597-A	Target	30.659	9.833		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	B05-14597-A	Target	24.828	4.002		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	B05-14597-A	Target	28.066	7.240		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	B05-14597-A	Target	40.000	19.174				false	0/1	false				
65	Analyzed	hsa-miR-154-4373270	B05-14597-A	Target	40.000	19.174				false	0/1	false				
66	Analyzed	hsa-miR-15a-4373123	B05-14597-A	Target	31.975	11.149		0.000	1.000	false	0/1	false				
67	Analyzed	hsa-miR-15b-4373122	B05-14597-A	Target	27.979	7.153		0.000	1.000	false	0/1	false				
68	Analyzed	hsa-miR-16-4373121	B05-14597-A	Target	22.854	2.028		0.000	1.000	false	0/1	false				
69	Analyzed	hsa-miR-17-4395419	B05-14597-A	Target	23.818	2.992		0.000	1.000	false	0/1	false				
70	Analyzed	hsa-miR-181a-4373117	B05-14597-A	Target	28.641	7.815		0.000	1.000	false	0/1	false				
71	Analyzed	hsa-miR-181c-4373115	B05-14597-A	Target	33.484	12.658		0.000	1.000	false	0/1	false				
72	Analyzed	hsa-miR-182-4395445	B05-14597-A	Target	30.874	10.047		0.000	1.000	false	0/1	false				
73	Analyzed	hsa-miR-183-4395380	B05-14597-A	Target	32.965	12.139		0.000	1.000	false	0/1	false				
74	Analyzed	hsa-miR-184-4373113	B05-14597-A	Target	40.000	19.174				false	0/1	false				
75	Analyzed	hsa-miR-185-4395382	B05-14597-A	Target	30.247	9.421		0.000	1.000	false	0/1	false				
76	Analyzed	hsa-miR-186-4395396	B05-14597-A	Target	27.459	6.633		0.000	1.000	false	0/1	false				
77	Analyzed	hsa-miR-187-4373307	B05-14597-A	Target	32.792	11.966		0.000	1.000	false	0/1	false				
78	Analyzed	hsa-miR-188-3p-4395217	B05-14597-A	Target	40.000	19.174				false	0/1	false				
79	Analyzed	hsa-miR-18a-4395533	B05-14597-A	Target	30.103	9.277		0.000	1.000	false	0/1	false				
80	Analyzed	hsa-miR-18b-4395328	B05-14597-A	Target	38.826	18.000		0.000	1.000	false	0/1	false				
81	Analyzed	hsa-miR-190-4373110	B05-14597-A	Target	35.907	15.081		0.000	1.000	false	0/1	false				
