SDS 2.3 RQ Results	1.2
Filename	109A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-18281-A
Run DateTime	Wed Apr 29 10:27:30 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
54	Analyzed	hsa-miR-146a-4373132	B04-18281-A	Target	22.879	1.909		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	B04-18281-A	Target	31.214	10.244		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	B04-18281-A	Target	23.228	2.258		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	B04-18281-A	Target	40.000	19.030				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	B04-18281-A	Target	35.167	14.197		0.000	1.000	false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	B04-18281-A	Target	28.887	7.917		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	B04-18281-A	Target	31.721	10.752		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	B04-18281-A	Target	29.646	8.676		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	B04-18281-A	Target	23.302	2.333		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	B04-18281-A	Target	28.359	7.389		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	B04-18281-A	Target	40.000	19.030				false	0/1	false				
65	Analyzed	hsa-miR-154-4373270	B04-18281-A	Target	40.000	19.030				false	0/1	false				
66	Analyzed	hsa-miR-15a-4373123	B04-18281-A	Target	28.453	7.483		0.000	1.000	false	0/1	false				
67	Analyzed	hsa-miR-15b-4373122	B04-18281-A	Target	26.179	5.209		0.000	1.000	false	0/1	false				
68	Analyzed	hsa-miR-16-4373121	B04-18281-A	Target	21.201	0.231		0.000	1.000	false	0/1	false				
69	Analyzed	hsa-miR-17-4395419	B04-18281-A	Target	22.242	1.273		0.000	1.000	false	0/1	false				
70	Analyzed	hsa-miR-181a-4373117	B04-18281-A	Target	27.418	6.448		0.000	1.000	false	0/1	false				
71	Analyzed	hsa-miR-181c-4373115	B04-18281-A	Target	33.194	12.224		0.000	1.000	false	0/1	false				
72	Analyzed	hsa-miR-182-4395445	B04-18281-A	Target	30.674	9.705		0.000	1.000	false	0/1	false				
73	Analyzed	hsa-miR-183-4395380	B04-18281-A	Target	32.005	11.035		0.000	1.000	false	0/1	false				
74	Analyzed	hsa-miR-184-4373113	B04-18281-A	Target	34.539	13.570		0.000	1.000	false	0/1	false				
75	Analyzed	hsa-miR-185-4395382	B04-18281-A	Target	28.724	7.755		0.000	1.000	false	0/1	false				
76	Analyzed	hsa-miR-186-4395396	B04-18281-A	Target	25.964	4.995		0.000	1.000	false	0/1	false				
77	Analyzed	hsa-miR-187-4373307	B04-18281-A	Target	34.176	13.207		0.000	1.000	false	0/1	false				
78	Analyzed	hsa-miR-188-3p-4395217	B04-18281-A	Target	40.000	19.030				false	0/1	false				
79	Analyzed	hsa-miR-18a-4395533	B04-18281-A	Target	28.613	7.643		0.000	1.000	false	0/1	false				
80	Analyzed	hsa-miR-18b-4395328	B04-18281-A	Target	36.201	15.231		0.000	1.000	false	0/1	false				
81	Analyzed	hsa-miR-190-4373110	B04-18281-A	Target	36.999	16.029		0.000	1.000	false	0/1	false				
82	Analyzed	hsa-miR-191-4395410	B04-18281-A	Target	22.831	1.861		0.000	1.000	false	0/1	false				
83	Analyzed	hsa-miR-192-4373108	B04-18281-A	Target	30.616	9.646		0.000	1.000	false	0/1	false				
84	Analyzed	hsa-miR-193a-3p-4395361	B04-18281-A	Target	31.481	10.512		0.000	1.000	false	0/1	false				
85	Analyzed	hsa-miR-193a-5p-4395392	B04-18281-A	Target	29.008	8.038		0.000	1.000	false	0/1	false				
