SDS 2.3 RQ Results	1.2
Filename	131A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-17112-A
Run DateTime	Wed Jun 03 16:06:28 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
19	Analyzed	hsa-miR-106b-4373155	B04-17112-A	Target	30.101	4.162		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B04-17112-A	Target	37.324	11.384		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B04-17112-A	Target	28.051	2.112		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B04-17112-A	Target	31.465	5.525		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B04-17112-A	Target	40.000	14.060				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B04-17112-A	Target	40.000	14.060				false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B04-17112-A	Target	32.516	6.576		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B04-17112-A	Target	27.068	1.128		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B04-17112-A	Target	27.466	1.526		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B04-17112-A	Target	22.674	-3.265		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B04-17112-A	Target	26.590	0.650		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	B04-17112-A	Target	40.000	14.060				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	B04-17112-A	Target	32.058	6.118		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	B04-17112-A	Target	40.000	14.060				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	B04-17112-A	Target	40.000	14.060				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	B04-17112-A	Target	31.504	5.564		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	B04-17112-A	Target	31.646	5.706		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	B04-17112-A	Target	30.050	4.110		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	B04-17112-A	Target	31.946	6.006		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	B04-17112-A	Target	35.094	9.155		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	B04-17112-A	Target	30.292	4.352		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	B04-17112-A	Target	34.547	8.607		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	B04-17112-A	Target	27.992	2.053		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	B04-17112-A	Target	39.103	13.163		0.000	1.000	false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	B04-17112-A	Target	40.000	14.060				false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	B04-17112-A	Target	29.737	3.797		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	B04-17112-A	Target	38.247	12.307		0.000	1.000	false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	B04-17112-A	Target	29.437	3.497		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	B04-17112-A	Target	31.400	5.461		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	B04-17112-A	Target	28.586	2.646		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	B04-17112-A	Target	26.681	0.741		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	B04-17112-A	Target	28.532	2.593		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	B04-17112-A	Target	33.045	7.105		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	B04-17112-A	Target	27.131	1.192		0.000	1.000	false	0/1	false				
53	Analyzed	hsa-miR-145-4395389	B04-17112-A	Target	23.579	-2.360		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	B04-17112-A	Target	23.946	-1.993		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	B04-17112-A	Target	33.247	7.307		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	B04-17112-A	Target	24.778	-1.162		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	B04-17112-A	Target	40.000	14.060				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	B04-17112-A	Target	40.000	14.060				false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	B04-17112-A	Target	31.567	5.627		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	B04-17112-A	Target	31.979	6.039		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	B04-17112-A	Target	29.450	3.511		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	B04-17112-A	Target	27.552	1.612		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	B04-17112-A	Target	31.350	5.411		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	B04-17112-A	Target	40.000	14.060				false	0/1	false				
65	Analyzed	hsa-miR-154-4373270	B04-17112-A	Target	35.484	9.544		0.000	1.000	false	0/1	false				
66	Analyzed	hsa-miR-15a-4373123	B04-17112-A	Target	32.324	6.385		0.000	1.000	false	0/1	false				
67	Analyzed	hsa-miR-15b-4373122	B04-17112-A	Target	29.059	3.119		0.000	1.000	false	0/1	false				
68	Analyzed	hsa-miR-16-4373121	B04-17112-A	Target	24.081	-1.859		0.000	1.000	false	0/1	false				
69	Analyzed	hsa-miR-17-4395419	B04-17112-A	Target	25.267	-0.673		0.000	1.000	false	0/1	false				
70	Analyzed	hsa-miR-181a-4373117	B04-17112-A	Target	30.849	4.909		0.000	1.000	false	0/1	false				
71	Analyzed	hsa-miR-181c-4373115	B04-17112-A	Target	37.780	11.840		0.000	1.000	false	0/1	false				
72	Analyzed	hsa-miR-182-4395445	B04-17112-A	Target	32.132	6.192		0.000	1.000	false	0/1	false				
73	Analyzed	hsa-miR-183-4395380	B04-17112-A	Target	32.461	6.521		0.000	1.000	false	0/1	false				
74	Analyzed	hsa-miR-184-4373113	B04-17112-A	Target	40.000	14.060				false	0/1	false				
75	Analyzed	hsa-miR-185-4395382	B04-17112-A	Target	31.181	5.241		0.000	1.000	false	0/1	false				
76	Analyzed	hsa-miR-186-4395396	B04-17112-A	Target	29.633	3.693		0.000	1.000	false	0/1	false				
77	Analyzed	hsa-miR-187-4373307	B04-17112-A	Target	30.452	4.512		0.000	1.000	false	0/1	false				
78	Analyzed	hsa-miR-188-3p-4395217	B04-17112-A	Target	40.000	14.060				false	0/1	false				
79	Analyzed	hsa-miR-18a-4395533	B04-17112-A	Target	30.727	4.787		0.000	1.000	false	0/1	false				
80	Analyzed	hsa-miR-18b-4395328	B04-17112-A	Target	36.171	10.231		0.000	1.000	false	0/1	false				
81	Analyzed	hsa-miR-190-4373110	B04-17112-A	Target	40.000	14.060				false	0/1	false				
82	Analyzed	hsa-miR-191-4395410	B04-17112-A	Target	24.064	-1.876		0.000	1.000	false	0/1	false				
83	Analyzed	hsa-miR-192-4373108	B04-17112-A	Target	34.961	9.021		0.000	1.000	false	0/1	false				
84	Analyzed	hsa-miR-193a-3p-4395361	B04-17112-A	Target	35.293	9.353		0.000	1.000	false	0/1	false				
85	Analyzed	hsa-miR-193a-5p-4395392	B04-17112-A	Target	31.589	5.650		0.000	1.000	false	0/1	false				
