SDS 2.3 RQ Results	1.2
Filename	118A.sdm
Assay Type	RQ Study
EmbeddedFile	B06-8785-A
Run DateTime	Wed May 27 10:00:59 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B06-8785-A	Endogenous Control	25.937					false	0/4	false				
2	Analyzed	RNU44-4373384	B06-8785-A	Target	26.182	0.245		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B06-8785-A	Target	24.595	-1.342		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B06-8785-A	Target	40.000	14.063				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B06-8785-A	Target	35.592	9.655		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B06-8785-A	Target	28.188	2.251		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B06-8785-A	Target	23.660	-2.277		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B06-8785-A	Target	29.089	3.152		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B06-8785-A	Target	27.571	1.634		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B06-8785-A	Target	25.896	-0.041		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B06-8785-A	Target	32.816	6.880		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B06-8785-A	Target	27.405	1.468		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B06-8785-A	Target	34.530	8.593		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B06-8785-A	Target	27.289	1.352		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B06-8785-A	Target	33.972	8.035		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B06-8785-A	Target	28.694	2.757		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B06-8785-A	Target	40.000	14.063				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B06-8785-A	Target	25.511	-0.426		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B06-8785-A	Target	28.650	2.713		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B06-8785-A	Target	34.527	8.590		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B06-8785-A	Target	28.241	2.304		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B06-8785-A	Target	32.828	6.892		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B06-8785-A	Target	40.000	14.063				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B06-8785-A	Target	40.000	14.063				false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B06-8785-A	Target	32.349	6.412		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B06-8785-A	Target	28.266	2.330		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B06-8785-A	Target	26.960	1.023		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B06-8785-A	Target	23.152	-2.785		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B06-8785-A	Target	29.138	3.201		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	B06-8785-A	Target	40.000	14.063				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	B06-8785-A	Target	33.773	7.836		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	B06-8785-A	Target	40.000	14.063				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	B06-8785-A	Target	40.000	14.063				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	B06-8785-A	Target	29.558	3.621		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	B06-8785-A	Target	31.788	5.851		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	B06-8785-A	Target	27.813	1.876		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	B06-8785-A	Target	32.404	6.467		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	B06-8785-A	Target	35.514	9.577		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	B06-8785-A	Target	33.678	7.741		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	B06-8785-A	Target	35.117	9.180		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	B06-8785-A	Target	29.253	3.316		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	B06-8785-A	Target	40.000	14.063				false	0/1	false				
